SR_NO,VOLTAGE,CURRENT,POWER,MODULE_TEMP,AMBIENT_TEMP,IR
158,18.16,0.05,0.93,533,487,406
159,18.21,0.06,1.12,533,486,415
160,18.21,-0.01,-0.14,532,486,414
161,18.16,0.03,0.57,532,486,407
162,18.14,0,0.04,533,486,404
163,18.14,0.03,0.57,533,486,403
164,18.19,0.06,1.11,533,486,403
165,18.16,0.05,0.93,534,485,404
166,18.16,0.02,0.4,533,485,405
167,18.19,0.03,0.58,532,485,404
168,18.19,0.04,0.76,533,485,404
169,18.16,0.05,0.93,533,485,404
170,18.16,0.05,0.93,532,484,404
171,18.19,0.04,0.76,533,485,404
172,18.16,0.07,1.29,532,485,404
173,18.16,0.07,1.29,533,485,403
174,18.14,0.06,1.11,533,485,403
175,18.19,0.06,1.11,532,485,407
176,18.16,0.05,0.93,532,485,404
177,18.14,0.03,0.57,533,486,403
178,18.16,0.05,0.93,533,486,406
179,18.16,0.08,1.47,533,486,406
180,18.16,0.03,0.57,532,486,404
181,18.16,0.04,0.75,531,487,406
182,18.16,0.02,0.4,532,486,406
183,18.16,0.03,0.57,533,486,405
184,18.14,0.04,0.75,533,486,406
185,18.16,0.09,1.65,532,486,405
186,18.16,0.03,0.57,531,485,406
187,18.14,0.05,0.93,533,484,406
188,18.16,0.06,1.11,533,484,406
189,18.14,0.07,1.29,532,484,407
190,18.14,0,0.04,532,483,405
191,18.16,0.02,0.4,533,483,406
192,18.14,0.03,0.57,533,483,406
193,18.16,0.06,1.11,532,482,406
194,18.16,0.06,1.11,533,482,406
195,18.16,0.04,0.75,533,482,406
196,18.16,0.02,0.4,533,482,406
197,18.16,0.09,1.65,532,483,405
198,18.16,0.02,0.4,533,483,407
199,18.16,0.03,0.57,533,483,407
200,18.14,0.04,0.75,533,483,406
201,18.21,-0.01,-0.14,533,483,410
202,18.19,0.05,0.93,532,482,421
203,18.19,0.03,0.58,532,482,419
204,18.19,0.08,1.47,533,483,409
205,18.19,0.04,0.76,533,483,414
206,18.16,0.05,0.93,532,483,409
207,18.16,0.03,0.57,532,482,406
208,18.14,0.01,0.22,533,483,405
209,18.16,0.07,1.29,533,483,406
210,18.14,0.03,0.57,533,483,405
211,18.16,0.01,0.22,532,484,407
212,18.16,0.03,0.57,532,484,408
213,18.16,0.03,0.57,533,484,404
214,18.14,0.05,0.93,534,484,405
215,18.14,0.04,0.75,535,484,407
216,18.14,0.03,0.57,535,484,408
217,18.16,0,0.04,534,483,407
218,18.14,0.04,0.75,536,484,409
219,18.19,0.04,0.76,535,483,410
220,18.16,0.04,0.75,535,483,406
221,18.19,0.02,0.4,535,483,411
222,18.19,-0.01,-0.14,535,483,409
223,18.21,0.06,1.12,533,483,409
224,18.16,0.02,0.4,532,483,409
225,18.19,0.02,0.4,534,483,409
226,18.19,0.01,0.22,535,483,408
227,18.19,0.06,1.11,534,484,408
228,18.19,0.06,1.11,533,483,408
229,18.16,0,0.04,535,483,409
230,18.19,0.02,0.4,537,483,410
231,19.87,0.02,0.43,499,414,1012
232,19.9,0.08,1.61,389,414,1013
233,19.87,0.01,0.24,177,414,1013
234,19.9,0.03,0.63,178,414,1013
235,19.9,0,0.04,176,414,1013
236,19.87,0.02,0.43,176,414,1011
237,19.87,0.01,0.24,178,414,1012
238,19.87,0.03,0.63,175,414,1012
239,19.85,0.03,0.63,177,414,1012
240,19.9,0.04,0.83,177,414,1011
241,19.92,0.04,0.83,175,414,1013
242,19.87,0.02,0.43,178,414,1012
243,19.9,0.04,0.83,176,414,1011
244,19.85,0,0.04,177,414,1013
245,19.9,0.04,0.83,176,414,1012
246,19.87,0,0.04,178,414,1011
247,19.92,0,0.04,176,414,1013
248,19.9,0.03,0.63,177,414,1012
249,19.87,0.04,0.83,176,414,1012
250,19.87,0.02,0.43,181,415,1013
251,19.87,0.03,0.63,175,415,1012
252,19.85,-0.02,-0.35,176,415,1012
253,19.87,0.04,0.83,175,415,1011
254,19.87,0.03,0.63,176,416,1011
255,19.85,0.05,1.02,178,415,1012
256,19.8,0.03,0.63,173,415,1012
257,19.8,0.04,0.82,177,416,1012
258,19.85,0,0.04,178,415,1012
259,19.8,0.04,0.82,178,416,1013
260,19.85,0.01,0.24,180,415,1011
261,19.82,0.06,1.22,178,416,1013
262,19.82,0.06,1.22,176,416,1013
263,19.75,0.03,0.62,176,415,1012
264,19.85,0.02,0.43,175,415,1012
265,19.8,0.01,0.23,176,415,1013
266,19.8,-0.01,-0.16,179,416,1012
267,19.82,0.02,0.43,501,416,1013
268,19.85,0.07,1.41,507,416,1012
269,19.85,0.05,1.02,508,416,1012
270,19.85,0.01,0.24,506,416,1013
271,19.82,0.04,0.82,508,416,1012
272,19.82,0.03,0.63,508,415,1012
273,19.82,0.04,0.82,507,415,1012
274,19.82,0,0.04,509,415,1012
275,19.85,0.06,1.22,509,416,1012
276,19.87,-0.01,-0.16,509,415,1011
277,19.87,0.02,0.43,509,416,1012
278,19.8,0.03,0.63,507,415,1012
279,19.82,-0.03,-0.55,507,415,1012
280,19.85,0.05,1.02,508,415,1013
281,19.85,0.03,0.63,509,414,1013
282,19.8,0.02,0.43,509,414,1012
283,19.8,0.03,0.63,509,414,1013
284,19.82,0.01,0.24,508,414,1012
285,19.82,0.05,1.02,510,414,1011
286,19.82,0.03,0.63,511,413,1012
287,19.82,0.02,0.43,509,414,1012
288,19.82,0,0.04,507,413,1012
289,19.85,0.03,0.63,429,413,1011
290,19.82,0.03,0.63,442,414,1013
291,19.82,0.01,0.24,438,414,1012
292,19.85,0.05,1.02,449,414,1013
293,19.82,0.09,1.8,445,414,1012
294,19.85,0.07,1.41,437,413,1012
295,19.82,0.01,0.24,434,414,1011
296,19.82,-0.02,-0.35,437,413,1012
297,19.78,0.06,1.21,440,413,1013
298,19.78,-0.03,-0.55,453,413,1012
299,19.8,0.02,0.43,448,414,1012
300,19.78,0.04,0.82,468,413,1013
301,19.8,0,0.04,456,414,1012
302,19.82,0,0.04,453,413,1012
303,19.8,0.03,0.63,459,414,1013
304,19.75,0.06,1.21,470,414,1012
305,19.78,-0.02,-0.35,475,414,1012
306,19.82,0.05,1.02,477,414,1012
307,19.82,0.06,1.22,467,414,1013
308,19.8,0.04,0.82,480,414,1012
309,19.82,0,0.04,481,414,1013
310,19.82,0.02,0.43,480,415,1013
311,19.8,-0.03,-0.55,479,415,1012
312,19.8,0.07,1.41,472,415,1011
313,19.82,0.01,0.24,468,415,1012
314,19.8,0,0.04,476,415,1012
315,19.82,0.01,0.24,474,415,1012
316,19.82,0.03,0.63,477,416,1013
317,19.82,0.03,0.63,474,416,1012
318,19.8,-0.04,-0.74,465,416,1013
319,19.85,0.01,0.24,449,415,1012
320,19.82,0,0.04,456,416,1012
321,19.8,0.04,0.82,449,416,1012
322,19.82,0.04,0.82,450,416,1012
323,19.8,0.05,1.02,449,417,1012
324,19.8,0.01,0.23,456,417,1013
325,19.8,0.02,0.43,453,416,1011
326,19.82,0.02,0.43,443,416,1012
327,19.78,0,0.04,456,416,1012
328,19.8,-0.02,-0.35,458,417,1011
329,19.8,0.01,0.23,455,417,1012
330,19.75,0.06,1.21,454,416,1011
331,19.75,-0.03,-0.55,461,416,1012
332,19.75,0.04,0.82,457,416,1013
333,19.75,0.04,0.82,463,416,1011
334,19.82,0.05,1.02,514,416,1012
335,19.8,0.05,1.02,514,416,1010
336,19.82,0.02,0.43,515,416,1011
337,19.8,0.03,0.63,514,416,1013
338,19.8,0.03,0.63,512,416,1011
339,19.82,0,0.04,514,415,1010
340,19.8,0,0.04,515,415,1011
341,19.8,0.02,0.43,513,415,1012
342,19.78,0.01,0.23,513,416,1011
343,19.78,0.03,0.63,515,416,1011
344,19.8,0.01,0.23,514,416,1011
345,19.8,0.01,0.23,514,417,1011
346,19.82,0.03,0.63,515,417,1011
347,19.78,0.04,0.82,516,417,1011
348,19.8,0.03,0.63,516,417,1011
349,19.8,0.03,0.63,513,417,1011
350,19.82,0.03,0.63,515,418,1012
351,19.82,0,0.04,515,418,1011
352,19.82,0,0.04,516,418,1012
353,19.82,0.01,0.24,514,418,1011
354,19.8,0.07,1.41,514,418,1011
355,19.82,0.03,0.63,514,418,1012
356,19.78,0.02,0.43,516,417,1011
357,19.8,0.07,1.41,515,418,1013
358,19.78,0.04,0.82,516,418,1013
359,19.78,0.02,0.43,515,418,1011
360,19.8,0.03,0.63,515,418,1012
361,19.78,0.03,0.63,515,418,1012
362,19.78,0.01,0.23,515,418,1013
363,19.73,0.01,0.23,516,419,1012
364,19.75,-0.01,-0.16,517,419,1011
365,19.78,0.09,1.8,516,419,1011
366,19.75,0.05,1.02,514,419,1011
367,19.78,0,0.04,517,419,1011
368,19.75,0.06,1.21,516,419,1011
369,19.78,0.05,1.02,515,419,1012
370,19.78,0.03,0.63,515,419,1010
371,19.75,0,0.04,515,419,1013
372,19.75,0.03,0.62,517,418,1011
373,19.73,0.03,0.62,516,419,1012
374,19.78,0.01,0.23,516,418,1011
375,19.73,0.01,0.23,517,419,1011
376,19.75,0.02,0.43,516,419,1011
377,19.75,0.02,0.43,516,419,1011
378,19.75,0.03,0.62,515,419,1011
379,19.75,0.05,1.02,516,419,1010
380,19.8,0.01,0.23,516,419,1012
381,19.78,0.01,0.23,516,419,1013
382,19.8,0,0.04,517,418,1011
383,19.8,0.03,0.63,517,418,1011
384,19.8,0.06,1.21,517,418,1012
385,19.78,0.02,0.43,518,417,1013
386,19.78,0.01,0.23,517,418,1011
387,19.78,0.03,0.63,516,418,1011
388,19.78,0.01,0.23,515,417,1012
389,19.78,0.02,0.43,517,417,1010
390,19.75,0.02,0.43,515,417,1011
391,19.75,0.01,0.23,515,418,1011
392,19.75,-0.02,-0.35,515,418,1013
393,19.73,0.06,1.21,518,418,1012
394,19.75,0.06,1.21,516,418,1011
395,19.73,0.02,0.43,515,418,1013
396,19.7,0.01,0.23,518,418,1011
397,19.75,0.04,0.82,518,418,1012
398,19.73,0.04,0.82,516,418,1011
399,19.73,0.03,0.62,517,417,1011
400,19.7,0.01,0.23,515,417,1012
401,19.73,0.03,0.62,515,417,1011
402,19.73,0.02,0.43,516,418,1010
403,19.73,0.01,0.23,518,417,1011
404,19.73,0.03,0.62,516,417,1012
405,19.75,0.04,0.82,516,418,1011
406,19.73,0.02,0.43,516,418,1012
407,19.73,0.02,0.43,517,418,1012
408,19.75,0.04,0.82,518,418,1011
409,19.73,0.04,0.82,518,418,1012
410,19.78,0.04,0.82,518,418,1013
411,19.78,0.03,0.63,517,417,1013
412,19.8,0,0.04,518,418,1011
413,19.78,0.05,1.02,519,418,1012
414,19.78,0.03,0.63,518,418,1011
415,19.78,0.03,0.63,519,418,1012
416,19.78,0.02,0.43,519,418,1011
417,19.8,0.03,0.63,519,418,1012
418,19.8,0.04,0.82,520,418,1012
419,19.82,0.01,0.24,519,418,1011
420,19.8,0.03,0.63,518,418,1012
421,19.8,0.03,0.63,519,419,1012
422,19.8,0.02,0.43,520,418,1012
423,19.85,0,0.04,521,418,1012
424,19.8,0,0.04,519,419,1012
425,19.82,0.1,2,520,419,1013
426,19.8,0.01,0.23,521,418,1012
427,19.8,-0.03,-0.55,520,419,1012
428,19.78,0.01,0.23,521,419,1012
429,19.8,0.06,1.21,520,418,1013
430,19.82,0.04,0.82,520,419,1012
431,19.8,0.02,0.43,522,418,1012
432,19.82,0.04,0.82,520,418,1011
433,19.8,0.02,0.43,521,418,1012
